complex_name,protein_path,ligand_description,protein_sequence
Piperaquine,2GQG_one_chain_docking.pdb,ligand_sdf_files/Piperaquine.sdf,
Fosfestrol,2GQG_one_chain_docking.pdb,ligand_sdf_files/Fosfestrol.sdf,
Amyl_nitrite,2GQG_one_chain_docking.pdb,ligand_sdf_files/Amyl_nitrite.sdf,
Valbenazine_Tosylate,2GQG_one_chain_docking.pdb,ligand_sdf_files/Valbenazine_Tosylate.sdf,
Santonin,2GQG_one_chain_docking.pdb,ligand_sdf_files/Santonin.sdf,
TRICLABENDAZOLE,2GQG_one_chain_docking.pdb,ligand_sdf_files/TRICLABENDAZOLE.sdf,
Granisetron,2GQG_one_chain_docking.pdb,ligand_sdf_files/Granisetron.sdf,
Treximet,2GQG_one_chain_docking.pdb,ligand_sdf_files/Treximet.sdf,
Tolnaftate,2GQG_one_chain_docking.pdb,ligand_sdf_files/Tolnaftate.sdf,
Aminophylline,2GQG_one_chain_docking.pdb,ligand_sdf_files/Aminophylline.sdf,
Alosetron,2GQG_one_chain_docking.pdb,ligand_sdf_files/Alosetron.sdf,
Dexbrompheniramine,2GQG_one_chain_docking.pdb,ligand_sdf_files/Dexbrompheniramine.sdf,
Bleomycin,2GQG_one_chain_docking.pdb,ligand_sdf_files/Bleomycin.sdf,
Famciclovir,2GQG_one_chain_docking.pdb,ligand_sdf_files/Famciclovir.sdf,
Amfepramone,2GQG_one_chain_docking.pdb,ligand_sdf_files/Amfepramone.sdf,
Homatropine_Methylbromide,2GQG_one_chain_docking.pdb,ligand_sdf_files/Homatropine_Methylbromide.sdf,
Podofilox,2GQG_one_chain_docking.pdb,ligand_sdf_files/Podofilox.sdf,
Propranolol,2GQG_one_chain_docking.pdb,ligand_sdf_files/Propranolol.sdf,
Aluminium,2GQG_one_chain_docking.pdb,ligand_sdf_files/Aluminium.sdf,
Oxcarbazepine,2GQG_one_chain_docking.pdb,ligand_sdf_files/Oxcarbazepine.sdf,
Flunisolide,2GQG_one_chain_docking.pdb,ligand_sdf_files/Flunisolide.sdf,
Bromodiphenhydramine,2GQG_one_chain_docking.pdb,ligand_sdf_files/Bromodiphenhydramine.sdf,
Tiopronin,2GQG_one_chain_docking.pdb,ligand_sdf_files/Tiopronin.sdf,
Deserpidine,2GQG_one_chain_docking.pdb,ligand_sdf_files/Deserpidine.sdf,
SPI_1005,2GQG_one_chain_docking.pdb,ligand_sdf_files/SPI_1005.sdf,
Tetrahydrofolic_acid,2GQG_one_chain_docking.pdb,ligand_sdf_files/Tetrahydrofolic_acid.sdf,
Triflupromazine,2GQG_one_chain_docking.pdb,ligand_sdf_files/Triflupromazine.sdf,
Molindone,2GQG_one_chain_docking.pdb,ligand_sdf_files/Molindone.sdf,
