Mol 'Abarelix' - Conformer embedding FAILED, skipped.
Mol 'Ganirelix' - Conformer embedding FAILED, skipped.
Mol 'Mifamurtide' - Conformer embedding FAILED, skipped.
Mol 'Hydralazine_hydrochloride__isosorbide_dinitrate' - INVALID SMILES, skipped.
Mol 'Daptomycin' - Conformer embedding FAILED, skipped.
Mol 'Trametinib___dabrafenib' - INVALID SMILES, skipped.
Mol 'NSC_631570' - Conformer embedding FAILED, skipped.
Mol 'Ganglioside_gm1' - Conformer embedding FAILED, skipped.
Mol 'Carperitide' - Conformer embedding FAILED, skipped.
Mol 'Aspirin__esomeprazole_fixed_dose_combination' - INVALID SMILES, skipped.
Mol 'Calcitonin_Human' - Conformer embedding FAILED, skipped.
Mol 'Etelcalcetide' - Conformer embedding FAILED, skipped.
Mol 'Elcatonin' - Conformer embedding FAILED, skipped.
Mol 'Sermorelin' - Conformer embedding FAILED, skipped.
Mol 'Teduglutide' - Conformer embedding FAILED, skipped.
Mol 'Peplomycin' - Conformer embedding FAILED, skipped.
Mol 'Nesiritide' - Conformer embedding FAILED, skipped.
Mol 'Liraglutide' - Conformer embedding FAILED, skipped.
Mol 'Cetrorelix' - Conformer embedding FAILED, skipped.
Mol 'Bivalirudin' - Conformer embedding FAILED, skipped.
Mol 'Castor_oil' - Conformer embedding FAILED, skipped.
Mol 'Colfosceril_palmitate' - Conformer embedding FAILED, skipped.
Mol 'Telavancin' - Conformer embedding FAILED, skipped.
Mol 'Glecaprevir__pibrentasvir' - INVALID SMILES, skipped.
Mol 'Abaloparatide' - Conformer embedding FAILED, skipped.
Mol 'Exenatide' - Conformer embedding FAILED, skipped.
Mol 'Semaglutide' - Conformer embedding FAILED, skipped.
Mol 'Vosoritide' - Conformer embedding FAILED, skipped.
Mol 'Lucinactant' - Conformer embedding FAILED, skipped.
Mol 'Albiglutide' - Conformer embedding FAILED, skipped.
Mol 'Seractide_Acetate' - Conformer embedding FAILED, skipped.
Mol 'Thymalfasin' - Conformer embedding FAILED, skipped.
Mol 'Hepatitis_B_vaccine' - Conformer embedding FAILED, skipped.
Mol 'Gramicidin_D' - Conformer embedding FAILED, skipped.
Mol 'Glucagon_recombinant' - Conformer embedding FAILED, skipped.
Mol 'Pramlintide' - Conformer embedding FAILED, skipped.
Mol 'Enfuvirtide' - Conformer embedding FAILED, skipped.
Mol 'Salmon_Calcitonin' - Conformer embedding FAILED, skipped.
Mol 'Insulin_lispro' - Conformer embedding FAILED, skipped.
Mol 'Histrelin' - Conformer embedding FAILED, skipped.
Mol 'Secretin' - Conformer embedding FAILED, skipped.
Mol 'Lactoferrin' - Conformer embedding FAILED, skipped.
Mol 'Ovine_corticotropin_releasing_hormone' - Conformer embedding FAILED, skipped.
Mol 'Lixisenatide' - Conformer embedding FAILED, skipped.
Mol 'HUMAN_CORTICOTROPIN_RELEASING_HORMONE' - Conformer embedding FAILED, skipped.
Mol 'Afamelanotide' - Conformer embedding FAILED, skipped.
Mol 'Cosyntropin' - Conformer embedding FAILED, skipped.
Mol 'Corticotropin_zinc_Hydroxide' - Conformer embedding FAILED, skipped.
Mol 'Mometasone_furoate__formoterol_fumarate' - INVALID SMILES, skipped.
Mol 'Fomivirsen_sodium' - Conformer embedding FAILED, skipped.
Mol 'Degarelix' - Conformer embedding FAILED, skipped.
Mol 'Pexiganan' - Conformer embedding FAILED, skipped.
Mol 'Sacituzumab_govitecan' - Conformer embedding FAILED, skipped.
Mol 'Zilucoplan' - Conformer embedding FAILED, skipped.
Mol 'Givosiran' - Conformer embedding FAILED, skipped.
Mol 'Inactive_73_SPA_IC50_6_5uM' - INVALID SMILES, skipped.
Mol 'Active_68_IC50_97nM' - INVALID SMILES, skipped.
Mol 'Active_74_SPA_IC50_0_009uM' - INVALID SMILES, skipped.
Mol 'Dasiglucagon' - Conformer embedding FAILED, skipped.
Mol 'Inulin' - Conformer embedding FAILED, skipped.
Mol 'Volanesorsen' - Conformer embedding FAILED, skipped.
Mol 'Mipomersen' - Conformer embedding FAILED, skipped.
Mol 'Corticotropin' - Conformer embedding FAILED, skipped.
Mol 'Teriparatide' - Conformer embedding FAILED, skipped.
Mol 'Epidermal_growth_factor' - Conformer embedding FAILED, skipped.
Mol 'Inotersen' - Conformer embedding FAILED, skipped.
Mol 'Tesamorelin' - Conformer embedding FAILED, skipped.
Mol 'Desirudin' - Conformer embedding FAILED, skipped.
Mol 'Lepirudin' - Conformer embedding FAILED, skipped.
