drug,highest_confidence,within_pocket
Glucarpidase,1.2400,True
Arsenic_trioxide,1.0500,True
Ferumoxides,0.9600,True
PT2385_S19_variant_IC50_0_012uM,0.9200,True
ZINC000000004264,0.8900,True
PT_2385_IC50_0_012uM,0.8800,True
Rilmenidine,0.8500,True
Active_70_SPA_IC50_0_16uM,0.8500,True
Active_51_Kd_327nM_IC50_NA,0.8400,True
Strontium_Chloride_Sr_89,0.8200,True
Ruxolitinib,0.8100,True
ZINC000000000935,0.7700,True
Belzutifan,0.7500,True
Ethinamate,0.7400,True
Inactive_48_Kd_1170nM_IC50_NA,0.7400,True
Inactive_47_Kd_L2000nM_IC50_NA,0.7300,True
Inactive_72_SPA_IC50_L10uM,0.7200,True
ZINC000000000826,0.7000,True
Artemisinin,0.6900,True
Artemether,0.6900,True
Active_71_SPA_IC50_0_041uM,0.6800,True
Dorzolamide,0.6800,True
Acitazanolast,0.6600,True
Inactive_49_C50_1000nM,0.6600,True
ZINC000000008767,0.6600,True
Active_69_IC50_43nM,0.6400,True
ZINC000000003553,0.6300,True
ZINC000000001912,0.6300,True
Ximelegatran,0.6300,True
Clorazepate,0.6300,True
Ergotidine,0.6200,True
PT_2399_IC50_0_0098uM,0.6200,True
Calcium_Chloride,0.6000,True
Fosfosal,0.6000,True
Pinacidil,0.5900,True
ZINC000000001995,0.5900,True
Enoximone,0.5800,True
Suprofen,0.5800,True
Nitroprusside,0.5700,True
ZINC000000001553,0.5700,True
Active_57_IC50_108nM,0.5700,True
ZINC000000001093,0.5600,True
Thioguanine,0.5600,True
Teriflunomide,0.5500,True
Active_61_Kd_393nM_IC50_NA,0.5500,True
ZINC000000007564,0.5500,True
ZINC000000006847,0.5400,True
ZINC000000001593,0.5400,True
Triclosan,0.5400,True
ZINC000000004396,0.5300,True
Letrozole,0.5300,True
Propiolactone,0.5300,True
Inactive_24_Activity_NoActivity,0.5200,True
ZINC000000005293,0.5200,True
Abametapir,0.5100,True
ZINC000000002910,0.5000,True
ZINC000000000479,0.5000,True
Leflunomide,0.5000,True
Active_56_IC50_112nM,0.5000,True
FADROZOLE,0.4900,True
ZINC000000004898,0.4900,True
ZINC000000000024,0.4800,True
Adenosine_monophosphate,0.4800,True
Oxazepam,0.4800,True
ZINC000000005795,0.4800,True
Tegafur,0.4800,True
Clavulanate,0.4800,True
Proquazone,0.4800,True
ZINC000000004551,0.4800,True
Baricitinib,0.4700,True
Cinoxacin,0.4700,True
Felbamate,0.4700,True
ZINC000000005048,0.4700,True
ZINC000000007223,0.4600,True
Carglumic_acid,0.4600,True
Rivastigmine,0.4600,True
Tolbutamide,0.4600,True
Active_52_IC50_314nM,0.4600,True
ZINC000000000950,0.4600,True
Iobenguane_I_123,0.4600,True
ZINC000000001801,0.4500,True
Neostigmine,0.4500,True
ZINC000000006400,0.4500,True
Butabarbital,0.4500,True
Dihydralazine,0.4500,True
ZINC000000004861,0.4500,True
Azosemide,0.4400,True
